"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1784945703309185318","Mon Apr 29 13:59:53 +0000 2024","0","Der lah #indonesiavsuzbekistan #TimnasDay https://t.co/5E3dq0CdFi","1784945703309185318","https://pbs.twimg.com/ext_tw_video_thumb/1784945667527618561/pu/img/zNLSu3-5i-Wzmcfh.jpg","","in","Ciamis, Indonesia","0","0","0","https://twitter.com/DenaKubang81/status/1784945703309185318","859641630399365120","DenaKubang81"
"1784945619309842463","Mon Apr 29 13:59:32 +0000 2024","0","Nontn bareng bocil komplek #Indonesia #PialaAsiaU23 #indonesiavsuzbekistan #IndonesiaMaju https://t.co/t6iuv04gGt","1784945619309842463","https://pbs.twimg.com/ext_tw_video_thumb/1784945579262664704/pu/img/hUhVPOCXjE2NbiP6.jpg","","in","Jagakarsa, Indonesia","0","0","0","https://twitter.com/lakembezainal/status/1784945619309842463","1723094977964818432","lakembezainal"
"1784945339600105698","Mon Apr 29 13:58:26 +0000 2024","0","sebelom dimulai inget kalo timnas kalah jangan dihujat #indonesiavsuzbekistan","1784945339600105698","","","in","","0","0","0","https://twitter.com/setelfilm/status/1784945339600105698","1258951497200459776","setelfilm"
"1784945110998036682","Mon Apr 29 13:57:31 +0000 2024","0","Masih nonton di rmh blm mau nobar diluar insyaallah Indonesia di partai final baru nobar. #TimnasDay #indonesiavsuzbekistan https://t.co/ieNfT22YlL","1784945110998036682","https://pbs.twimg.com/media/GMVmHGybgAAm5YF.jpg","","in","Kota Makassar, Sulawesi Selata","0","0","0","https://twitter.com/ibnujie_/status/1784945110998036682","467936394","ibnujie_"
"1784945018412863616","Mon Apr 29 13:57:09 +0000 2024","0","#indonesiavsuzbekistan ayo ayo semua rakyat mendukungmu https://t.co/bdP7THPhiu","1784945018412863616","https://pbs.twimg.com/media/GMVmB5OaMAEedm7.jpg","","in","Surabaya","0","0","0","https://twitter.com/Isdapambudi/status/1784945018412863616","446854226","Isdapambudi"
"1784944923869110643","Mon Apr 29 13:56:47 +0000 2024","0","Ayoo indonesiaa #Indonesia #TimnasDay #TimnasU23 #afc #SemiFinal #indonesiavsuzbekistan https://t.co/TamwKwLyH2","1784944923869110643","https://pbs.twimg.com/media/GMVl8UlaoAAzE5r.jpg","","in","","0","0","0","https://twitter.com/AfterrrDarkkk/status/1784944923869110643","1478994295902248960","AfterrrDarkkk"
"1784944881468903571","Mon Apr 29 13:56:37 +0000 2024","0","Yukkkkk bisa menang kali ini garuda mudaaaa #TimnasDay #indonesiavsuzbekistan https://t.co/iaxv3sYYEH","1784944881468903571","https://pbs.twimg.com/media/GMVl6O5aIAAzk_t.jpg","","in","Indonesia-Bandung","0","0","0","https://twitter.com/nuylentik/status/1784944881468903571","74412710","nuylentik"
"1784534551685210372","Mon Apr 29 13:55:51 +0000 2024","0","#meboquiz tebak skor Indonesia U23 vs Uzbekistan U23 DITUTUP #AFCU23AsianCup #TimnasIndonesiaU23 #TimnasU23 #TimnasDay #Nobar #indonesiavsuzbekistan","1784944689864679603","","Memoria_Bola","in","","0","0","0","https://twitter.com/Memoria_Bola/status/1784944689864679603","1538139820727635968","Memoria_Bola"
"1784944656671015400","Mon Apr 29 13:55:43 +0000 2024","0","Nonton ah siapa tau menang ️ #SemiFinal #AFCU23AsianCup #indonesiavsuzbekistan","1784944656671015400","","","in","Jepara, Indonesia","0","0","0","https://twitter.com/jafarstory/status/1784944656671015400","2267424517","jafarstory"
"1784944654607319168","Mon Apr 29 13:55:42 +0000 2024","0","Indonesia-Qatar ini jauh Lo bisa-bisanya stadion full supporter Indonesia berasa main home #TimnasDay #AsianCupU23 #indonesiavsuzbekistan","1784944654607319168","","","in","","0","0","0","https://twitter.com/Dchzayn_/status/1784944654607319168","2497595250","Dchzayn_"
"1784944648357896652","Mon Apr 29 13:55:41 +0000 2024","1","Ikutan yuk! Berpuisi sambil menunggu jalannya pertandingan Tim Nasional Indonesia berlaga di malam ini melawan Uzbekistan @patjarmerah_id @PenerbitbaNANA @Indonesia_Tera #SelamatHariPuisiNasional2024 #indonesiavsuzbekistan https://t.co/NbWv57vg09","1784944648357896652","https://pbs.twimg.com/media/GMVlseQagAEQ7L5.jpg","","in","Banyuwangi, Indonesia","1","1","0","https://twitter.com/NiatunNikmah/status/1784944648357896652","1613017104458084353","NiatunNikmah"
"1784944522675511439","Mon Apr 29 13:55:11 +0000 2024","0","Nothing to lose aja Timnas Indonesia. Pencapaian Semifinal udah mantep banget ini mah. Ekspektasi jangan terlalu tinggi lawannye bukan kaleng-kaleng ini. #PialaAsiaU23 #indonesiavsuzbekistan","1784944522675511439","","","in","Indonesia","0","0","0","https://twitter.com/achsetiadi/status/1784944522675511439","77469771","achsetiadi"
"1784944342484066650","Mon Apr 29 13:54:28 +0000 2024","0","Doa kami anak negeri Indonesia untuk kalian pahlawan lapangan hijau bawalah Garuda terbang tinggi menuju Olimpiade Paris 2024 #TimnasIndonesiaU23 #Indonesiajuara #sejarahsemifinalU23 #Indonesiavsuzbekistan #olimpiadepariskamidatang https://t.co/v8y9HX9f5N","1784944342484066650","https://pbs.twimg.com/media/GMVlZczaQAAptPX.jpg","","in","","0","0","0","https://twitter.com/eonerockstate/status/1784944342484066650","470311598","eonerockstate"
"1784943780963262914","Mon Apr 29 13:52:14 +0000 2024","1","Pemain Uzbekistan berdarah asli Indonesia satu ini bakal dimainkan gak ya #TimnasDay #NobarDay #indonesiavsuzbekistan https://t.co/4Q6DoakY0n","1784943780963262914","https://pbs.twimg.com/media/GMVk53abwAAp2pl.jpg","","in","Jl. Lurus","0","0","0","https://twitter.com/Janka_Dausat/status/1784943780963262914","1604048393441247233","Janka_Dausat"
"1784943726818943359","Mon Apr 29 13:52:01 +0000 2024","0","Spill link nonton timnas indonesia vs uzbekistan dong guys #indonesiavsuzbekistan","1784943726818943359","","","in","","0","0","0","https://twitter.com/Horangme/status/1784943726818943359","1639769694336057344","Horangme"
"1784943717885116418","Mon Apr 29 13:51:59 +0000 2024","0","Spil link nobar ga siii? #indonesiavsuzbekistan","1784943717885116418","","","in","","0","1","0","https://twitter.com/apacuuuuuuuuu/status/1784943717885116418","1260072208279277570","apacuuuuuuuuu"
"1784943631016845376","Mon Apr 29 13:51:38 +0000 2024","0","Kira-kira nanti yg nobar #indonesiavsuzbekistan ada ngga ya versi real life SunJae - ImSol?? abis nobar langsung confess kiw..kiww...","1784943631016845376","","","in","","0","0","0","https://twitter.com/sha_rshls/status/1784943631016845376","1569918714400886784","sha_rshls"
"1784943587035316307","Mon Apr 29 13:51:28 +0000 2024","1","Alun2 Tastura Lombok Tengah #TimnasDay #GarudaJuara #indonesiavsuzbekistan https://t.co/n3W9ZDcCi8","1784943587035316307","https://pbs.twimg.com/media/GMVkubCbEAAu7Ag.jpg","","in","","0","0","1","https://twitter.com/Wira_Hadi07/status/1784943587035316307","1552590340959649793","Wira_Hadi07"
"1784943501622595684","Mon Apr 29 13:51:08 +0000 2024","0","Link Streaming Siaran Langsung Timnas Indonsia Indonesia VS Uzbekistan pada Semifinal Piala Asia U-23 2024 https://t.co/iHZaJF3KK6 #TimnasDay #indonesiavsuzbekistan #RCTID","1784943501622595684","","","in","Bandung","0","0","0","https://twitter.com/halojabarcom/status/1784943501622595684","1619654388099977216","halojabarcom"
"1784943496010555878","Mon Apr 29 13:51:06 +0000 2024","0","Ayo Nonton... Semifinal AFC U23 Asian Cup. Mohon maaf belum bisa ngajak nobar Apalagi memasang gambar Bukan Pejabat hanya Rakyat Kuatir dianggap numpang tenar sesaat! #AFCU23AsianCup #FYP #foryourpage #PialaAsiaU23 #TimnasDay #TimnasIndonesiaU23 #indonesiavsuzbekistan https://t.co/dFTBMih0YQ","1784943496010555878","https://pbs.twimg.com/media/GMVkpn2aoAA_Ma5.jpg","","in","Sukadana","0","0","0","https://twitter.com/abroodee/status/1784943496010555878","54817751","abroodee"
"1784943355086119166","Mon Apr 29 13:50:33 +0000 2024","0","TIMNASDAY... MENANG KALAH WAJAR YG PENTING NGEGOLIN LEBIH BANYAK DARI LAWAN ..Da itu ajh #AFCU23AsianCup #indonesiavsuzbekistan #Indonesia","1784943355086119166","","","in","Indonesia","0","0","0","https://twitter.com/DI_062/status/1784943355086119166","145707619","DI_062"
"1784943011602071857","Mon Apr 29 13:49:11 +0000 2024","2","Timnas Day Indonesia 2-1 Uzbekistan bismillah yaAlloh Indonesia juara #TimnasDay #indonesiavsuzbekistan https://t.co/gcPTrDEy4n","1784943011602071857","https://pbs.twimg.com/media/GMVkNXZawAA7m0q.jpg","","in","","0","1","0","https://twitter.com/Habibassy_/status/1784943011602071857","1543503957406121985","Habibassy_"
"1784942932912714091","Mon Apr 29 13:48:52 +0000 2024","0","yok bisa yok🇲🇨 #TimnasDay #indonesiavsuzbekistan https://t.co/KiBRp9pnmV","1784942932912714091","https://pbs.twimg.com/media/GMVkIdkbIAAUguS.jpg","","in","","0","0","0","https://twitter.com/wahyudwiatmjaa/status/1784942932912714091","1162149382994579457","wahyudwiatmjaa"
"1784942357848449386","Mon Apr 29 13:46:35 +0000 2024","0","MALAM INI KALAU KAMU DISENENI KARENA BENGOK BENGOK MARAHIN BALIK AJA! #TimnasDay #indonesiavsuzbekistan https://t.co/hOItH8Iq84","1784942357848449386","https://pbs.twimg.com/media/GMVjm6mb0AE8787.jpg","","in","","0","0","0","https://twitter.com/jare_wonogiri/status/1784942357848449386","1561716482215620609","jare_wonogiri"
